repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.09,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.09-0-0-10
0.21,1,0,0,76,4,3.5355339059327378,100-3.5355339059327378-4-0.21-0-0-6
0.0,0,0,0,66,2,10.0,100-10.0-2-0.0-0-0-7
0.23,0,0,0,1,1,10.0,100-10.0-1-0.23-0-0-1
0.93,1,0,0,92,5,14.142135623730951,100-14.142135623730951-5-0.93-0-0-1
0.22,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.22-0-0-9
0.1,0,0,0,1,1,1.25,100-1.25-1-0.1-0-0-2
0.23,1,0,0,5,3,0.4419417382415922,100-0.4419417382415922-3-0.23-0-0-8
0.88,0,0,0,38,3,5.0,100-5.0-3-0.88-0-0-2
0.55,1,0,0,23,4,0.8838834764831844,100-0.8838834764831844-4-0.55-0-0-10
0.09,1,0,0,64,3,3.5355339059327378,100-3.5355339059327378-3-0.09-0-0-3
0.78,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.78-0-0-8
0.57,1,0,0,5,3,0.625,100-0.625-3-0.57-0-0-6
0.49,1,0,0,50,5,1.25,100-1.25-5-0.49-0-0-9
0.84,0,0,0,2,2,1.7677669529663689,100-1.7677669529663689-2-0.84-0-0-7
0.35,1,0,0,10,3,0.625,100-0.625-3-0.35-0-0-10
0.82,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.82-0-0-9
0.84,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.84-0-0-9
0.34,0,0,0,1,1,10.0,100-10.0-1-0.34-0-0-7
0.45,0,0,0,43,2,7.0710678118654755,100-7.0710678118654755-2-0.45-0-0-9
0.42,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.42-0-0-1
0.99,0,0,0,2,2,14.142135623730951,100-14.142135623730951-2-0.99-0-0-3
0.91,1,0,0,29,4,2.5,100-2.5-4-0.91-0-0-6
0.67,1,0,0,11,3,1.25,100-1.25-3-0.67-0-0-6
0.71,1,0,0,88,5,7.0710678118654755,100-7.0710678118654755-5-0.71-0-0-7
0.13,1,0,0,41,3,1.7677669529663689,100-1.7677669529663689-3-0.13-0-0-7
0.05,1,0,0,26,5,0.4419417382415922,100-0.4419417382415922-5-0.05-0-0-4
0.31,1,0,0,34,5,0.625,100-0.625-5-0.31-0-0-6
0.25,1,0,0,68,5,1.7677669529663689,100-1.7677669529663689-5-0.25-0-0-1
0.81,0,0,0,55,3,7.0710678118654755,100-7.0710678118654755-3-0.81-0-0-9
0.11,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.11-0-0-7
0.03,0,0,0,91,4,10.0,100-10.0-4-0.03-0-0-2
0.62,0,0,0,17,2,3.5355339059327378,100-3.5355339059327378-2-0.62-0-0-9
0.81,0,0,0,1,1,0.8838834764831844,100-0.8838834764831844-1-0.81-0-0-9
0.66,0,0,0,1,1,5.0,100-5.0-1-0.66-0-0-3
0.57,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.57-0-0-5
0.41,0,0,0,5,2,1.25,100-1.25-2-0.41-0-0-6
0.74,0,0,0,3,2,1.25,100-1.25-2-0.74-0-0-10
0.5,0,0,0,61,3,5.0,100-5.0-3-0.5-0-0-3
0.38,0,0,0,48,2,7.0710678118654755,100-7.0710678118654755-2-0.38-0-0-3
0.06,1,0,0,72,4,2.5,100-2.5-4-0.06-0-0-2
0.46,0,0,0,89,4,10.0,100-10.0-4-0.46-0-0-2
0.21,1,0,0,55,4,1.7677669529663689,100-1.7677669529663689-4-0.21-0-0-5
0.03,1,0,0,66,4,2.5,100-2.5-4-0.03-0-0-10
0.01,1,0,0,7,3,0.4419417382415922,100-0.4419417382415922-3-0.01-0-0-9
0.04,1,0,0,2,2,0.4419417382415922,100-0.4419417382415922-2-0.04-0-0-7
0.07,1,0,0,40,3,1.7677669529663689,100-1.7677669529663689-3-0.07-0-0-2
0.42,0,0,0,47,2,7.0710678118654755,100-7.0710678118654755-2-0.42-0-0-8
0.14,0,0,0,1,1,0.625,100-0.625-1-0.14-0-0-4
0.8,0,0,0,76,3,14.142135623730951,100-14.142135623730951-3-0.8-0-0-2
0.26,0,0,0,1,1,7.0710678118654755,100-7.0710678118654755-1-0.26-0-0-5
0.28,1,0,0,63,4,2.5,100-2.5-4-0.28-0-0-10
0.56,1,0,0,2,2,0.8838834764831844,100-0.8838834764831844-2-0.56-0-0-4
0.24,1,0,0,87,5,5.0,100-5.0-5-0.24-0-0-2
0.59,0,0,0,5,2,1.7677669529663689,100-1.7677669529663689-2-0.59-0-0-3
0.23,0,0,0,81,3,10.0,100-10.0-3-0.23-0-0-7
0.3,1,0,0,12,4,0.4419417382415922,100-0.4419417382415922-4-0.3-0-0-8
0.03,1,0,0,82,4,5.0,100-5.0-4-0.03-0-0-4
0.74,1,0,0,51,4,2.5,100-2.5-4-0.74-0-0-6
0.55,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.55-0-0-8
0.55,0,0,0,1,1,0.625,100-0.625-1-0.55-0-0-8
0.58,0,0,0,5,2,1.7677669529663689,100-1.7677669529663689-2-0.58-0-0-1
0.49,1,0,0,24,5,0.625,100-0.625-5-0.49-0-0-10
0.21,0,0,0,86,3,14.142135623730951,100-14.142135623730951-3-0.21-0-0-5
0.78,1,0,0,49,5,1.7677669529663689,100-1.7677669529663689-5-0.78-0-0-4
0.1,0,0,0,93,4,14.142135623730951,100-14.142135623730951-4-0.1-0-0-5
