instance,exact,approximate
70-1.3-3-0.33-0-0-32,18,18
70-4.0-3-0.14-0-0-10,43,44
70-1.6-3-0.32-0-0-30,21,21
70-2.5-3-0.21-0-0-80,33,35
70-2.2-3-0.44-0-0-51,27,29
70-1.3-3-0.12-0-0-81,20,21
70-1.6-3-0.23-0-0-100,24,26
70-2.2-3-0.04-0-0-60,33,35
70-2.2-3-0.11-0-0-81,32,33
70-1.0-3-0.11-0-0-21,16,16
70-1.3-3-0.25-0-0-41,18,19
70-4.0-3-0.12-0-0-40,45,46
70-1.3-3-0.06-0-0-70,20,21
70-1.3-3-0.43-0-0-31,15,15
70-1.6-3-0.31-0-0-31,22,23
70-4.0-3-0.21-0-0-121,42,45
70-1.0-3-0.18-0-0-40,15,16
70-4.0-3-0.41-0-0-71,38,42
70-1.3-3-0.36-0-0-50,15,16
70-2.5-3-0.1-0-0-70,36,36
70-2.5-3-0.23-0-0-100,33,35
70-2.5-3-0.11-0-0-40,35,36
70-1.0-3-0.46-0-0-61,11,12
70-1.6-3-0.14-0-0-30,25,26
70-3.1-3-0.12-0-0-21,40,40
70-2.2-3-0.31-0-0-42,30,32
70-1.0-3-0.36-0-0-32,12,12
70-2.5-3-0.11-0-0-10,36,39
70-1.0-3-0.45-0-0-12,11,12
70-1.0-3-0.34-0-0-13,13,14
70-1.0-3-0.15-0-0-52,15,15
70-1.0-3-0.42-0-0-21,12,13
70-1.3-3-0.21-0-0-63,21,24
70-4.0-3-0.41-0-0-131,41,43
70-3.1-3-0.01-0-0-61,42,42
70-1.0-3-0.14-0-0-10,14,15
70-1.6-3-0.0-0-0-31,27,29
70-4.0-3-0.02-0-0-51,46,48
70-4.3-3-0.21-0-0-110,45,46
70-1.0-3-0.18-0-0-20,15,15
70-3.1-3-0.3-0-0-21,36,36
70-1.0-3-0.33-0-0-73,13,15
70-1.0-3-0.01-0-0-44,18,19
70-3.4-3-0.1-0-0-30,42,44
70-2.5-3-0.11-0-0-41,35,37
70-1.0-3-0.41-0-0-74,12,13
70-2.2-3-0.2-0-0-51,32,34
70-2.5-3-0.41-0-0-41,29,31
70-1.6-3-0.2-0-0-11,26,27
70-2.2-3-0.04-0-0-51,34,36
70-2.2-3-0.44-0-0-100,25,27
70-3.4-3-0.2-0-0-30,40,42
70-3.4-3-0.2-0-0-100,40,43
70-1.6-3-0.21-0-0-1,24,26
70-1.0-3-0.12-0-0-83,16,17
70-4.0-3-0.0-0-0-112,45,47
70-2.2-3-0.5-0-0-40,25,25
70-3.4-3-0.41-0-0-40,35,35
70-1.3-3-0.05-0-0-60,22,23
70-1.3-3-0.14-0-0-71,20,22
70-1.3-3-0.35-0-0-31,18,20
70-2.2-3-0.44-0-0-20,23,26
70-2.2-3-0.13-0-0-41,31,34
70-3.1-3-0.34-0-0-60,35,37
70-3.1-3-0.44-0-0-50,34,36
70-3.1-3-0.43-0-0-10,35,36
70-4.0-3-0.43-0-0-50,40,41
70-2.5-3-0.21-0-0-60,34,36
70-1.0-3-0.38-0-0-30,14,15
70-4.3-3-0.01-0-0-40,47,48
70-1.6-3-0.02-0-0-1,28,30
70-3.1-3-0.41-0-0-42,34,36
70-1.3-3-0.4-0-0-21,14,16
70-2.2-3-0.5-0-0-10,23,24
70-1.0-3-0.32-0-0-23,12,12
70-1.0-3-0.33-0-0-63,11,12
70-1.0-3-0.5-0-0-12,10,10
70-2.2-3-0.41-0-0-32,29,31
70-1.3-3-0.31-0-0-72,18,20
70-2.2-3-0.2-0-0-71,32,34
70-1.3-3-0.0-0-0-63,23,24
70-4.0-3-0.44-0-0-40,36,38
70-2.5-3-0.31-0-0-31,32,34
70-1.0-3-0.42-0-0-92,10,11
70-3.1-3-0.43-0-0-1,35,36
70-2.2-3-0.44-0-0-21,27,30
70-1.3-3-0.11-0-0-62,22,23
70-1.0-3-0.14-0-0-43,17,19
70-2.5-3-0.33-0-0-40,30,33
70-2.5-3-0.11-0-0-31,34,36
70-1.0-3-0.42-0-0-83,12,13
70-4.0-3-0.24-0-0-10,42,45
70-1.0-3-0.43-0-0-53,12,13
70-1.0-3-0.44-0-0-62,12,13
70-3.1-3-0.0-0-0-91,41,44
70-1.3-3-0.01-0-0-33,25,26
70-3.1-3-0.21-0-0-51,40,41
70-2.2-3-0.3-0-0-81,30,31
70-2.2-3-0.1-0-0-91,34,37
70-3.1-3-0.03-0-0-60,40,42
70-1.6-3-0.31-0-0-11,23,25
70-2.2-3-0.04-0-0-21,33,34
70-3.1-3-0.13-0-0-61,41,43
70-1.0-3-0.35-0-0-32,10,11
70-1.0-3-0.24-0-0-3,15,15
70-1.6-3-0.0-0-0-71,26,28
70-2.5-3-0.12-0-0-60,35,37
70-1.6-3-0.42-0-0-30,18,20
70-4.0-3-0.31-0-0-1,40,41
70-4.0-3-0.42-0-0-50,39,42
70-2.5-3-0.31-0-0-10,33,33
70-1.0-3-0.26-0-0-81,12,13
70-1.3-3-0.41-0-0-91,17,17
70-4.0-3-0.03-0-0-70,46,49
70-3.1-3-0.0-0-0-32,42,43
70-3.1-3-0.23-0-0-70,38,40
70-1.3-3-0.25-0-0-31,18,18
70-1.3-3-0.36-0-0-100,20,21
70-1.0-3-0.38-0-0-40,12,13
70-2.2-3-0.34-0-0-1,29,31
70-1.3-3-0.06-0-0-30,21,22
70-1.3-3-0.22-0-0-72,19,21
70-1.6-3-0.01-0-0-11,28,29
70-1.0-3-0.24-0-0-53,15,15
70-2.5-3-0.41-0-0-31,30,32
70-2.2-3-0.21-0-0-91,31,32
70-1.6-3-0.01-0-0-1,26,28
70-3.4-3-0.02-0-0-100,41,41
70-2.2-3-0.34-0-0-70,28,32
70-4.0-3-0.12-0-0-110,43,43
70-1.3-3-0.44-0-0-31,17,18
70-2.8-3-0.16-0-0-15,36,37
70-1.0-3-0.47-0-0-1,12,13
70-2.2-3-0.45-0-0-20,24,28
70-1.3-3-0.31-0-0-33,19,20
70-1.3-3-0.13-0-0-61,20,20
70-2.5-3-0.1-0-0-20,37,41
70-4.3-3-0.11-0-0-40,45,47
70-1.6-3-0.22-0-0-70,23,24
70-1.6-3-0.41-0-0-1,21,22
70-3.1-3-0.31-0-0-31,38,41
70-2.2-3-0.3-0-0-80,29,31
70-1.0-3-0.22-0-0-53,15,16
70-1.0-3-0.26-0-0-32,14,15
70-2.2-3-0.5-0-0-100,26,28
70-2.2-3-0.32-0-0-41,30,32
70-4.0-3-0.1-0-0-80,44,46
70-2.2-3-0.1-0-0-42,33,35
70-1.6-3-0.12-0-0-40,26,27
70-1.0-3-0.44-0-0-12,11,13
70-3.1-3-0.21-0-0-22,39,40
70-1.0-3-0.35-0-0-52,12,12
70-3.1-3-0.23-0-0-61,37,40
70-3.4-3-0.0-0-0-51,43,44
70-1.0-3-0.26-0-0-1,14,15
70-1.0-3-0.17-0-0-31,15,16
70-1.0-3-0.2-0-0-73,15,15
70-1.6-3-0.41-0-0-71,20,21
70-1.3-3-0.05-0-0-10,20,22
70-2.5-3-0.01-0-0-10,38,39
70-3.1-3-0.12-0-0-11,39,41
70-2.5-3-0.32-0-0-30,32,34
70-2.2-3-0.22-0-0-71,32,33
70-1.3-3-0.15-0-0-70,19,20
70-3.1-3-0.11-0-0-2,38,39
70-1.3-3-0.4-0-0-11,17,17
70-4.0-3-0.14-0-0-50,45,47
70-3.1-3-0.03-0-0-41,41,42
70-1.3-3-0.35-0-0-20,20,21
70-1.3-3-0.15-0-0-41,21,22
70-1.0-3-0.42-0-0-53,9,10
70-3.1-3-0.24-0-0-20,37,39
70-3.1-3-0.11-0-0-61,39,41
70-3.1-3-0.33-0-0-70,36,39
70-2.2-3-0.43-0-0-11,27,29
