literal_factor,algorithm,clause_factor,prop_equal,treewidth,prop_deterministic,num_variables,answer,instance,time,sat,repetitiveness
3,dpmc,2.2,0,35,0.51,70,0,70-2.2-3-0-0.51-0-42,0.33,,0
3,minic2d,2.2,0,36,0.78,70,0.0,70-2.2-3-0-0.78-0-85,25.55,,0
3,minic2d,2.2,0,34,0.63,70,0.0,70-2.2-3-0-0.63-0-52,7.82,,0
3,minic2d,2.2,0,36,0.39,70,0.0,70-2.2-3-0-0.39-0-92,39.0,,0
3,cachet,2.2,0,35,0.09,70,7.13672e-14,70-2.2-3-0-0.09-0-55,2.72,,0
3,dpmc,2.2,0,36,0.45,70,0,70-2.2-3-0-0.45-0-67,6.13,,0
3,cachet,2.2,0,36,0.48,70,0,70-2.2-3-0-0.48-0-45,8.34,,0
3,d4,2.2,0,33,0.79,70,0.0,70-2.2-3-0-0.79-0-86,46.94,,0
3,cachet,2.2,0,36,0.0,70,1.58606e-12,70-2.2-3-0-0.0-0-49,4.21,,0
3,cachet,2.2,0,36,0.07,70,3.44898e-11,70-2.2-3-0-0.07-0-55,4.18,,0
3,dpmc,2.2,0,32,0.51,70,0,70-2.2-3-0-0.51-0-13,0.06,,0
3,d4,2.2,0,33,0.36,70,9.445223e-14,70-2.2-3-0-0.36-0-59,54.36,,0
3,c2d,2.2,0,37,0.27,70,0.0,70-2.2-3-0-0.27-0-46,92.38,,0
3,minic2d,2.2,0,37,0.76,70,0.0,70-2.2-3-0-0.76-0-73,4.8,,0
3,dpmc,2.2,0,37,0.87,70,0,70-2.2-3-0-0.87-0-7,0.08,,0
3,d4,2.2,0,34,0.72,70,0.0,70-2.2-3-0-0.72-0-61,39.22,,0
3,c2d,2.2,0,35,0.57,70,0.0,70-2.2-3-0-0.57-0-7,12.39,,0
3,cachet,2.2,0,36,0.87,70,0,70-2.2-3-0-0.87-0-35,8.61,,0
3,dpmc,2.2,0,35,0.67,70,0,70-2.2-3-0-0.67-0-56,0.11,,0
3,d4,2.2,0,35,0.28,70,,70-2.2-3-0-0.28-0-90,144.61,,0
3,d4,2.2,0,37,0.92,70,,70-2.2-3-0-0.92-0-71,513.74,,0
3,dpmc,2.2,0,37,0.79,70,0,70-2.2-3-0-0.79-0-98,0.05,,0
3,dpmc,2.2,0,34,0.78,70,0,70-2.2-3-0-0.78-0-31,0.09,,0
3,dpmc,2.2,0,37,1.0,70,0,70-2.2-3-0-1.0-0-13,0.04,1,0
3,c2d,2.2,0,36,0.89,70,,70-2.2-3-0-0.89-0-50,185.49,,0
3,d4,2.2,0,33,0.37,70,0.0,70-2.2-3-0-0.37-0-49,49.33,,0
3,minic2d,2.2,0,36,0.98,70,0.0,70-2.2-3-0-0.98-0-28,15.07,,0
3,dpmc,2.2,0,34,0.74,70,0,70-2.2-3-0-0.74-0-97,0.17,,0
